author,title,rating,totalratings,genre_list
"Steven D. Levitt,Stephen J. Dubner",Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,3.98,747428,Economics|Business|Science|Psychology|Sociology|Economics|Finance|Politics|Social Science
E.L. James,Fifty Shades Freed,3.85,744885,Romance|Adult Fiction|Erotica|Erotica|BDSM|Contemporary|Romance|Contemporary Romance|Womens Fiction|Chick Lit|Romance|Erotic Romance|Adult Fiction
"Nathaniel Hawthorne,Thomas E. Connolly,Nina Baym",The Scarlet Letter,3.42,733658,Classics|Historical|Historical Fiction|Academic|School|Literature|High School|Academic|Read For School|Historical|Classics|Classic Literature
"Leo Tolstoy,Constance Garnett,Aylmer Maude,Louise Maude,Dmitriy Butko,George Gibian",Anna Karenina,4.06,701657,Classics|Romance|Cultural|Russia|Historical|Historical Fiction|Literature|Russian Literature|Literature|Literature|19th Century|Historical
Cheryl Strayed,Wild: From Lost to Found on the Pacific Crest Trail,4.02,657406,Autobiography|Memoir|Travel|Biography|Adventure|Biography Memoir|Biography|Autobiography|Environment|Nature|Book Club
"Stephen King,Bernie Wrightson",The Stand,4.34,652033,Horror|Fantasy|Science Fiction|Apocalyptic|Post Apocalyptic|Thriller|Science Fiction|Dystopia|Science Fiction|Apocalyptic|Classics
George R.R. Martin,A Feast for Crows,4.14,651517,Fantasy|Fantasy|Epic Fantasy|Science Fiction Fantasy|Fantasy|High Fantasy|Adventure|Fantasy|Dragons|Epic
Sarah J. Maas,A Court of Thorns and Roses,4.2,622138,Fantasy|Romance|New Adult|Retellings|Fairies|Fae|Fantasy|Magic|Young Adult Fantasy|Fantasy|Paranormal
Rainbow Rowell,Fangirl,4.03,621839,Contemporary|Romance|Realistic Fiction|New Adult|Coming Of Age|Womens Fiction|Chick Lit|Young Adult Contemporary
"Terry Pratchett,Neil Gaiman","Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",4.24,583213,Fantasy|Humor|Fantasy|Urban Fantasy|Humor|Comedy|Science Fiction Fantasy|Science Fiction|Fantasy|Supernatural
Dan Brown,Digital Fortress,3.67,580586,Thriller|Mystery|Suspense|Mystery|Crime|Thriller|Mystery Thriller|Science Fiction|Adventure|Drama
George R.R. Martin,A Dance with Dragons,4.32,579265,Fantasy|Fantasy|Epic Fantasy|Science Fiction Fantasy|Fantasy|High Fantasy|Fantasy|Dragons|Adventure|Epic
Jamie McGuire,Beautiful Disaster,4.08,576985,Romance|New Adult|Contemporary|Romance|Contemporary Romance|Academic|College|Womens Fiction|Chick Lit|Love
Kim Edwards,The Memory Keeper's Daughter,3.68,572392,Contemporary|Adult Fiction|Historical|Historical Fiction|Book Club|Drama|Womens Fiction|Chick Lit|Family
Jenny Han,To All the Boys I've Loved Before,4.13,564650,Romance|Contemporary|Womens Fiction|Chick Lit|Realistic Fiction|Young Adult Contemporary|Young Adult Romance|High School
Truman Capote,In Cold Blood,4.06,563370,Classics|Crime|True Crime|Mystery|Crime|Mystery|History|Thriller|Literature|Literature|American|Biography
E. Lockhart,We Were Liars,3.84,561026,Contemporary|Mystery|Romance|Realistic Fiction|Thriller|Mystery Thriller|Thriller|Teen
"Stephen King,Sissy Spacek",Carrie,3.97,552654,Horror|Thriller|Fantasy|Fantasy|Paranormal|Classics|Fantasy|Supernatural
"C.S. Lewis,Pauline Baynes",The Chronicles of Narnia,4.26,550280,Fantasy|Classics|Christian|Adventure|Middle Grade|Science Fiction Fantasy|Christian Fiction
Stephen King,Misery,4.18,532544,Horror|Thriller|Suspense|Mystery|Thriller|Mystery Thriller|Mystery|Crime
Rebecca Wells,Divine Secrets of the Ya-Ya Sisterhood,3.83,530259,Womens Fiction|Chick Lit|Contemporary|Adult Fiction|American|Southern|Historical|Historical Fiction|Humor|Womens
"Neil Gaiman,Dave McKean",Coraline,4.05,524411,Fantasy|Horror|Middle Grade|Fantasy|Paranormal|Adventure|Fantasy|Supernatural
Neil Gaiman,The Ocean at the End of the Lane,4.0,510149,Fantasy|Magical Realism|Horror|Science Fiction Fantasy|Adult Fiction|Fantasy|Paranormal
Robert Galbraith,The Cuckoo's Calling,3.87,508999,Mystery|Mystery|Crime|Thriller|Thriller|Mystery Thriller|Contemporary|Mystery|Detective|Adult Fiction
Maria Semple,"Where'd You Go, Bernadette",3.89,505337,Humor|Contemporary|Mystery|Womens Fiction|Chick Lit|Adult Fiction|Book Club
"Carlos Ruiz ZafÃ³n,Lucia Graves",The Shadow of the Wind,4.27,502284,Historical|Historical Fiction|Mystery|Fantasy|Writing|Books About Books|Historical|Cultural|Spain|Magical Realism|European Literature|Spanish Literature|Gothic
"Herman Melville,Andrew Delbanco,Tom Quirk,Rockwell Kent","Moby-Dick or, the Whale",3.51,493984,Classics|Literature|Adventure|Historical|Historical Fiction|Literature|American|Literature|19th Century|Classics|Classic Literature
Dan Brown,Inferno,3.86,493192,Thriller|Mystery|Thriller|Mystery Thriller|Suspense|Historical|Historical Fiction|Adventure|Mystery|Crime
Kiera Cass,The Elite,4.01,491239,Romance|Science Fiction|Dystopia|Fantasy|Science Fiction|Teen|Womens Fiction|Chick Lit|Young Adult Romance
Cassandra Clare,Clockwork Prince,4.42,476789,Fantasy|Romance|Fantasy|Paranormal|Science Fiction|Steampunk|Historical|Historical Fiction|Fantasy|Urban Fantasy|Paranormal|Angels|Paranormal|Vampires
Graeme Simsion,The Rosie Project,4.02,476209,Romance|Contemporary|Humor|Womens Fiction|Chick Lit|Adult Fiction|Book Club|Cultural|Australia
Rick Riordan,The Mark of Athena,4.44,473507,Fantasy|Fantasy|Mythology|Middle Grade|Adventure|Mythology|Greek Mythology|Fantasy|Urban Fantasy|Romance
"William Shakespeare,Paul Werstine,Barbara A. Mowat,Catherine Belsey",A Midsummer Night's Dream,3.95,460763,Classics|Plays|Drama|Fantasy|Academic|School|Romance|Plays|Theatre|Literature|Poetry
Patrick Rothfuss,The Wise Man's Fear,4.54,456510,Fantasy|Fantasy|Epic Fantasy|Fantasy|High Fantasy|Fantasy|Magic|Science Fiction Fantasy|Adventure|Epic
Leigh Bardugo,Shadow and Bone,3.98,454867,Fantasy|Romance|Fantasy|Magic|Young Adult Fantasy|Fantasy|High Fantasy|Adventure|Fantasy|Paranormal
John Grogan,Marley and Me: Life and Love With the World's Worst Dog,4.13,454237,Animals|Autobiography|Memoir|Animals|Dogs|Biography|Humor|Biography Memoir|Contemporary|Biography|Autobiography
Neil Gaiman,Neverwhere,4.16,452276,Fantasy|Fantasy|Urban Fantasy|Science Fiction Fantasy|Science Fiction|Adventure|Horror
Stephen King,11/22/63,4.3,448150,Historical|Historical Fiction|Science Fiction|Science Fiction|Time Travel|Fantasy|Horror|Thriller|Historical|Mystery
Mindy Kaling,Is Everyone Hanging Out Without Me? (And Other Concerns),3.86,441441,Autobiography|Memoir|Humor|Biography|Humor|Comedy|Biography|Autobiography|Biography Memoir|Writing|Essays
Maya Angelou,I Know Why the Caged Bird Sings,4.25,439482,Classics|Autobiography|Memoir|Biography|Biography|Autobiography|Poetry|Feminism|Cultural|African American|Biography Memoir|Race
Lauren Oliver,Delirium,3.96,434171,Science Fiction|Dystopia|Romance|Science Fiction|Fantasy|Teen|Love|Apocalyptic|Post Apocalyptic
James Patterson,Along Came a Spider,4.11,416306,Mystery|Thriller|Mystery|Crime|Thriller|Mystery Thriller|Suspense|Mystery|Detective|Mystery|Murder Mystery
M.L. Stedman,The Light Between Oceans,4.02,415657,Historical|Historical Fiction|Cultural|Australia|Historical|Book Club|Romance|Adult Fiction|Drama
"C.S. Lewis,Pauline Baynes",The Voyage of the Dawn Treader,4.08,414676,Fantasy|Classics|Adventure|Christian|Middle Grade|Christian Fiction|Science Fiction Fantasy
Rick Yancey,The 5th Wave,4.03,411191,Science Fiction|Science Fiction|Dystopia|Science Fiction|Aliens|Fantasy|Apocalyptic|Post Apocalyptic|Romance|Science Fiction|Apocalyptic
Betty  Smith,A Tree Grows in Brooklyn,4.27,402702,Classics|Historical|Historical Fiction|Coming Of Age|Historical|Literature|New York|Book Club
Sarah J. Maas,Crown of Midnight,4.39,402070,Fantasy|Romance|Fantasy|Magic|Young Adult Fantasy|Fantasy|High Fantasy|New Adult|Fairies|Fae|Adventure
Christina Baker Kline,Orphan Train,4.18,390097,Historical|Historical Fiction|Historical|Book Club|Adult Fiction|Contemporary|Parenting|Adoption
