author,title,rating,totalratings,genre_list
Hugh Howey,Shift,4.12,74664,Science Fiction|Science Fiction|Dystopia|Apocalyptic|Post Apocalyptic|Fantasy|Science Fiction Fantasy|Science Fiction|Apocalyptic|Speculative Fiction
Jodi Picoult,Salem Falls,3.82,74617,Contemporary|Womens Fiction|Chick Lit|Romance|Mystery|Adult Fiction|Drama|Realistic Fiction
Michael Chabon,The Yiddish Policemen's Union,3.71,74567,Mystery|Science Fiction|Science Fiction|Alternate History|Mystery|Crime|Literature|Jewish|Fantasy|Literature|Literary Fiction
"Edmond Rostand,Eteel Lawson,Lowell Bair",Cyrano de Bergerac,4.06,74368,Classics|Plays|Drama|Cultural|France|Romance|Plays|Theatre|Academic|School|Literature|Historical|Historical Fiction
"Richard Bachman,Stephen King",The Regulators,3.71,73905,Horror|Thriller|Fantasy|Fantasy|Supernatural|Suspense|Science Fiction
"Friedrich Nietzsche,R.J. Hollingdale,Michael Tanner",Beyond Good and Evil,3.99,73551,Philosophy|Classics|European Literature|German Literature|Psychology|Religion|Literature|19th Century|History|Philosophy|Theory|Literature
Colleen Hoover,This Girl,4.12,73476,Romance|New Adult|Contemporary|Romance|Contemporary Romance|Womens Fiction|Chick Lit|Love|Realistic Fiction|Poetry
"WÅ‚adysÅ‚aw Szpilman,Anthea Bell","The Pianist: The Extraordinary Story of One Man's Survival in Warsaw, 1939â€“45",4.21,73376,History|World War II|Holocaust|Biography|Autobiography|Memoir|War|War|World War II|Historical|Cultural|Poland|Classics
"Carlos Ruiz ZafÃ³n,Lucia Graves",The Prisoner of Heaven,4.06,73376,Historical|Historical Fiction|Mystery|Fantasy|Cultural|Spain|Writing|Books About Books|Magical Realism|Historical|European Literature|Spanish Literature|Gothic
James A. Michener,Hawaii,4.2,73368,Historical|Historical Fiction|Historical|Classics|Travel|Epic|North American Hi...|American History|Literature|Adult Fiction
Dean Koontz,Forever Odd,3.97,73249,Horror|Thriller|Fantasy|Mystery|Fantasy|Paranormal|Fantasy|Supernatural|Suspense|Fantasy|Urban Fantasy|Paranormal|Ghosts
Jim Gaffigan,Dad Is Fat,3.75,73231,Humor|Autobiography|Memoir|Humor|Comedy|Parenting|Biography|Biography Memoir|Biography|Autobiography
Kazu Kibuishi,The Stonekeeper,4.17,73149,Sequential Art|Graphic Novels|Fantasy|Sequential Art|Comics|Middle Grade|Adventure|Graphic Novels Comics|Fantasy|Magic
Agatha Christie,The Body in the Library,3.86,73091,Mystery|Mystery|Crime|Classics|Thriller|Mystery Thriller|Mystery|Detective|European Literature|British Literature|Thriller|Mystery|Murder Mystery
Sara Shepard,Flawless,3.92,73074,Mystery|Contemporary|Womens Fiction|Chick Lit|Romance|Thriller|Teen|Realistic Fiction|Drama
"Paulo Coelho,Margaret Jull Costa",The Witch of Portobello,3.54,72957,Philosophy|Spirituality|Fantasy|Contemporary|Inspirational|Literature|Magical Realism|Religion
Kresley Cole,A Hunger Like No Other,4.13,72539,Fantasy|Paranormal|Romance|Paranormal Romance|Romance|Paranormal|Vampires|Fantasy|Fantasy|Urban Fantasy|Shapeshifters|Werewolves|Paranormal|Shapeshifters|Fantasy|Supernatural
Raine Miller,Naked,4.01,72501,Romance|Adult Fiction|Erotica|Romance|Contemporary Romance|Contemporary|Romance|Erotic Romance|Erotica|BDSM|New Adult|Sociology|Abuse
Anne Fadiman,"The Spirit Catches You and You Fall Down: A Hmong Child, Her American Doctors, and the Collision of Two Cultures",4.17,72489,Health|Medicine|Anthropology|Medical|Science|Biography|Health|History|Autobiography|Memoir|Sociology
Toni Morrison,Sula,3.95,72332,Classics|Historical|Historical Fiction|Cultural|African American|Literature|Literary Fiction|Race|Academic|School|Feminism
Veronica Rossi,Through the Ever Night,4.12,72254,Science Fiction|Dystopia|Romance|Fantasy|Science Fiction|Apocalyptic|Post Apocalyptic|Fantasy|Paranormal|Adventure|Teen
K.A. Tucker,Ten Tiny Breaths,4.12,72214,New Adult|Romance|Contemporary|Romance|Contemporary Romance|Womens Fiction|Chick Lit|Drama|Realistic Fiction
Kate Jacobs,The Friday Night Knitting Club,3.43,72211,Womens Fiction|Chick Lit|Crafts|Knitting|Contemporary|Romance|Adult Fiction|Book Club
Abbi Glines,The Vincent Boys,3.96,72129,Romance|New Adult|Contemporary|Romance|Contemporary Romance|Womens Fiction|Chick Lit|High School|Young Adult Romance|Realistic Fiction|Young Adult Contemporary
Anna Godbersen,The Luxe,3.63,72116,Historical|Historical Fiction|Romance|Historical|Womens Fiction|Chick Lit|Romance|Historical Romance|Teen|Drama|Mystery
Harlan Coben,Six Years,3.83,71926,Mystery|Thriller|Thriller|Mystery Thriller|Suspense|Mystery|Crime|Romance|Drama
Terry Goodkind,Faith of the Fallen,4.08,71826,Fantasy|Fantasy|Epic Fantasy|Science Fiction Fantasy|Fantasy|High Fantasy|Adventure|Fantasy|Magic|Middle Grade
Janet Evanovich,Explosive Eighteen,3.94,71807,Mystery|Humor|Womens Fiction|Chick Lit|Romance|Mystery|Crime|Humor|Comedy|Thriller|Mystery Thriller
Jodi Picoult,Lone Wolf,3.71,71793,Contemporary|Adult Fiction|Drama|Womens Fiction|Chick Lit|Animals|Family
"Paulo Coelho,Margaret Jull Costa",The Zahir,3.58,71572,Philosophy|Contemporary|Romance|Spirituality|Literature|Inspirational|Love
Kasie West,The Distance Between Us,3.91,71479,Romance|Contemporary|Womens Fiction|Chick Lit|Realistic Fiction|Young Adult Contemporary|Romance|Contemporary Romance|Young Adult Romance|High School
"John Eldredge,Stasi Eldredge",Captivating: Unveiling the Mystery of a Woman's Soul,3.91,71381,Christian|Religion|Faith|Religion|Christianity|Spirituality|Christian|Christian Living|Christian|Christian Non Fiction|Religion|Self Help|Relationships
Samantha Towle,The Mighty Storm,4.17,71238,Romance|Romance|Contemporary Romance|Contemporary|New Adult|Music|Adult Fiction|Erotica|Music|Musicians|Romance|Erotic Romance|Womens Fiction|Chick Lit
Brandon Sanderson,The Emperor's Soul,4.32,71223,Fantasy|Novella|Fantasy|High Fantasy|Short Stories|Fantasy|Magic|Fantasy|Epic Fantasy
Patricia Cornwell,Body of Evidence,4.03,71138,Mystery|Mystery|Crime|Thriller|Thriller|Mystery Thriller|Suspense|Mystery|Murder Mystery|Mystery|Detective
Cheryl Strayed,Tiny Beautiful Things: Advice on Love and Life from Dear Sugar,4.28,70965,Self Help|Autobiography|Memoir|Writing|Essays|Psychology|Self Help|Personal Development|Relationships|Biography
Jennifer L. Armentrout,Opposition,4.36,70690,Fantasy|Paranormal|Romance|Fantasy|Science Fiction|Aliens|Science Fiction|Romance|Paranormal Romance|Fantasy|Supernatural|Fantasy|Urban Fantasy|New Adult
Neil Gaiman,Fragile Things: Short Fictions and Wonders,3.93,70690,Fantasy|Short Stories|Horror|Science Fiction|Poetry|Anthologies|Science Fiction Fantasy|Fantasy|Urban Fantasy
Raymond E. Feist,Magician: Master,4.22,70527,Fantasy|Fantasy|Epic Fantasy|Fantasy|High Fantasy|Adventure|Science Fiction Fantasy|Middle Grade|Fantasy|Magic
"Jan-Philipp Sendker,Kevin Wiliarty",The Art of Hearing Heartbeats,4.01,70494,Historical|Historical Fiction|Romance|Book Club|Cultural|Asia|Adult Fiction|Contemporary|Historical
Tamora Pierce,Terrier,4.09,70388,Fantasy|Fantasy|Magic|Young Adult Fantasy|Mystery|Adventure|Fantasy|High Fantasy|Teen
Julie Kagawa,The Immortal Rules,4.05,70333,Paranormal|Vampires|Fantasy|Fantasy|Paranormal|Science Fiction|Dystopia|Romance|Fantasy|Urban Fantasy|Apocalyptic|Post Apocalyptic|Fantasy|Supernatural
Robert McCloskey,Blueberries for Sal,4.19,70041,Picture Books|Classics|Animals|Family|Food and Drink|Food|Kids|Juvenile|Adventure
"Richard Bachman,Stephen King",The Bachman Books,4.12,70026,Horror|Thriller|Mystery|Suspense|Mystery|Crime|Dark|Fantasy|Anthologies|Contemporary
R.K. Lilley,Mile High,4.2,69951,Romance|Erotica|BDSM|Adult Fiction|Erotica|Romance|Contemporary Romance|Contemporary|Romance|Erotic Romance|New Adult|Sociology|Abuse|Dark
Kiera Cass,The Prince,3.93,69946,Romance|Science Fiction|Dystopia|Novella|Fantasy|Short Stories|Science Fiction|Womens Fiction|Chick Lit|Teen
David Baldacci,Zero Day,4.02,69860,Thriller|Mystery|Mystery|Crime|Suspense|Thriller|Mystery Thriller|Action|War|Military Fiction|Adventure
Jessica Sorensen,The Secret of Ella and Micha,4.0,69805,New Adult|Romance|Contemporary|Romance|Contemporary Romance|Academic|College|Womens Fiction|Chick Lit|Music
Elizabeth Haynes,Into the Darkest Corner,4.08,69795,Thriller|Mystery|Suspense|Mystery|Crime|Thriller|Mystery Thriller|Drama|Thriller|Psychological Thriller|Contemporary
John Flanagan,The Icebound Land,4.24,69720,Fantasy|Adventure|Middle Grade|Teen|Young Adult Fantasy|Action|Historical|Medieval
"Jussi Adler-Olsen,Lisa Hartford",The Keeper of Lost Causes,3.99,69661,Mystery|Mystery|Crime|Thriller|Thriller|Mystery Thriller|European Literature|Scandinavian Literature|Cultural|Denmark|Scandinavian Lite...|Nordic Noir|Suspense
Stephen King,Lisey's Story,3.68,69634,Horror|Fantasy|Thriller|Mystery|Fantasy|Supernatural|Romance|Suspense|Fantasy|Paranormal
Neil Gaiman,Smoke and Mirrors: Short Fiction and Illusions,4.01,69568,Fantasy|Short Stories|Horror|Fantasy|Urban Fantasy|Anthologies|Science Fiction|Science Fiction Fantasy
Alice Hoffman,The Dovekeepers,4.05,69557,Historical|Historical Fiction|Historical|Magical Realism|Book Club|Literature|Jewish|Adult Fiction|Cultural|Israel
Libba Bray,The Sweet Far Thing,3.95,69516,Fantasy|Historical|Historical Fiction|Historical|Romance|Fantasy|Paranormal|Fantasy|Magic|Young Adult Fantasy|Teen
Philip Roth,American Pastoral,3.92,69220,Classics|Literature|Literature|American|Literary Fiction|Historical|Historical Fiction|Contemporary|American|Americana|The United States Of America
"Stephen King,Jae Lee",The Wind Through the Keyhole,4.15,69044,Fantasy|Horror|Science Fiction|Westerns|Adventure|Science Fiction Fantasy|Thriller
Nora Roberts,The Witness,4.22,68983,Romance|Romance|Romantic Suspense|Mystery|Suspense|Contemporary|Romance|Contemporary Romance|Thriller|Mystery|Crime
"Lee Child,Dick Hill",A Wanted Man,4.03,68625,Thriller|Mystery|Mystery|Crime|Action|Suspense|Thriller|Mystery Thriller|Adventure|Drama
Melanie Benjamin,The Aviator's Wife,3.9,68426,Historical|Historical Fiction|Adult Fiction|Historical|Book Club|Womens|Unfinished
Maya Banks,Rush,3.94,68352,Romance|Adult Fiction|Erotica|Erotica|BDSM|Contemporary|Romance|Contemporary Romance|Romance|Erotic Romance|New Adult|Womens Fiction|Chick Lit
Margaret Atwood,MaddAddam,3.99,68247,Science Fiction|Science Fiction|Dystopia|Apocalyptic|Post Apocalyptic|Speculative Fiction|Cultural|Canada|Fantasy|Science Fiction Fantasy
Nora Roberts,Blue Dahlia,4.12,68076,Romance|Fantasy|Paranormal|Romance|Contemporary Romance|Contemporary|Womens Fiction|Chick Lit|Mystery|Romance|Paranormal Romance|Fantasy|Paranormal|Ghosts
Rob Lowe,Stories I Only Tell My Friends,3.8,68049,Autobiography|Memoir|Biography|Biography|Autobiography|Biography Memoir|Humor|Culture|Pop Culture|Culture|Film
Kristen Ashley,Mystery Man,4.22,67656,Romance|Romance|Contemporary Romance|Contemporary|Romance|Romantic Suspense|Adult Fiction|Erotica|Suspense|War|Military Fiction|Womens Fiction|Chick Lit|Mystery
Rebecca    Donovan,Barely Breathing,4.31,67448,Romance|New Adult|Contemporary|Sociology|Abuse|Romance|Contemporary Romance|High School|Drama|Realistic Fiction
C.J. Roberts,Captive in the Dark,3.97,67426,Dark|Adult Fiction|Erotica|Romance|Erotica|BDSM|Contemporary|Sociology|Abuse|New Adult|Romance|Contemporary Romance|Romance|Erotic Romance
Louise L. Hay,You Can Heal Your Life,4.15,67382,Self Help|Spirituality|Health|Psychology|Self Help|Personal Development|Inspirational|Spirituality|New Age|Philosophy|Reference
"Amie Kaufman,Meagan Spooner",These Broken Stars,3.89,67156,Science Fiction|Romance|Fantasy|Science Fiction|Dystopia|Space|Science Fiction|Aliens|Adventure
Jim Butcher,Academ's Fury,4.23,67055,Fantasy|Fantasy|Epic Fantasy|Fantasy|High Fantasy|Fantasy|Magic|Adventure|Science Fiction Fantasy
Kristin Hannah,Fly Away,3.97,67049,Womens Fiction|Chick Lit|Contemporary|Romance|Adult Fiction|Drama|Womens Fiction|Family
Kirsty Moseley,The Boy Who Sneaks in My Bedroom Window,3.9,66897,Romance|Contemporary|New Adult|Sociology|Abuse|High School|Romance|Contemporary Romance|Womens Fiction|Chick Lit|Young Adult Romance|Love
Julia Quinn,"To Sir Phillip, With Love",3.85,66718,Romance|Romance|Historical Romance|Historical|Historical|Historical Fiction|Historical|Regency|Historical Romance|Regency Romance|Womens Fiction|Chick Lit
Jodi Picoult,Perfect Match,3.95,66609,Contemporary|Womens Fiction|Chick Lit|Drama|Adult Fiction|Mystery|Family|Mystery|Crime|Realistic Fiction
Kristin Hannah,Magic Hour,4.12,66505,Romance|Womens Fiction|Chick Lit|Contemporary|Mystery|Drama|Adult Fiction|Family|Womens Fiction
Alison Weir,The Six Wives of Henry VIII,4.08,66352,History|Biography|Historical|English History|Tudor Period|European Literature|British Literature|Biography Memoir|History|European History|Literature|16th Century
Samantha Shannon,The Bone Season,3.77,66330,Fantasy|Science Fiction|Dystopia|Science Fiction|Fantasy|Paranormal|Fantasy|Urban Fantasy|Romance
Patricia Briggs,Frost Burned,4.34,66100,Fantasy|Urban Fantasy|Fantasy|Fantasy|Paranormal|Paranormal|Vampires|Romance|Shapeshifters|Werewolves|Paranormal|Shapeshifters|Romance|Paranormal Romance|Fantasy|Magic
John Grisham,The Litigators,3.82,65958,Thriller|Mystery|Thriller|Legal Thriller|Mystery|Crime|Suspense|Thriller|Mystery Thriller|Law
Kristin Hannah,Home Front,4.13,65882,Womens Fiction|Chick Lit|Romance|Contemporary|War|Adult Fiction|Womens Fiction|Drama
Amanda Hocking,Torn,4.04,65818,Fantasy|Fantasy|Paranormal|Romance|Romance|Paranormal Romance|Fantasy|Magic|Fantasy|Supernatural|Fantasy|Urban Fantasy|Young Adult Fantasy
Michelle Leighton,Down to You,4.04,65789,Romance|New Adult|Contemporary|Romance|Contemporary Romance|Adult Fiction|Erotica|Academic|College|Romance|Erotic Romance|Womens Fiction|Chick Lit
"Homer,Robert Fagles,Bernard Knox",The Iliad/The Odyssey,4.05,65654,Classics|Poetry|Fantasy|Mythology|Literature|Fantasy|Historical|Historical Fiction|Academic|School|Adventure|Classics|Classic Literature
Terry Pratchett,Making Money,4.2,65647,Fantasy|Humor|Humor|Comedy|Science Fiction Fantasy|Adventure|Middle Grade
Sarah Dessen,Keeping the Moon,3.84,65407,Romance|Contemporary|Realistic Fiction|Womens Fiction|Chick Lit|Teen|Young Adult Contemporary|Coming Of Age|High School
George Saunders,Tenth of December,3.95,65209,Short Stories|Contemporary|Literary Fiction|Literature|Literature|American|Adult Fiction|Short Stories|Short Story Collection
Brandon Sanderson,Calamity,4.19,65184,Fantasy|Science Fiction|Science Fiction|Dystopia|Fantasy|Urban Fantasy|Comics|Superheroes|Apocalyptic|Post Apocalyptic|Adventure
J.R. Ward,Lover at Last,4.29,65170,Fantasy|Paranormal|Romance|Paranormal Romance|Paranormal|Vampires|Romance|Fantasy|Romance|M M Romance|Fantasy|Urban Fantasy|Adult Fiction|Erotica
"Mike Mignola,John Byrne",Seed of Destruction,4.13,65111,Sequential Art|Comics|Sequential Art|Graphic Novels|Horror|Fantasy|Graphic Novels Comics|Comics|Comic Book|Fantasy|Supernatural|Fantasy|Paranormal|Comics|Superheroes
Tamora Pierce,Emperor Mage,4.21,65091,Fantasy|Fantasy|Magic|Young Adult Fantasy|Adventure|Fantasy|High Fantasy|Middle Grade|Fantasy|Dragons
Matt Haig,The Humans,4.08,65052,Science Fiction|Fantasy|Humor|Contemporary|Science Fiction|Aliens|Adult Fiction
Raymond E. Feist,A Darkness At Sethanon,4.15,65043,Fantasy|Fantasy|Epic Fantasy|Fantasy|High Fantasy|Science Fiction Fantasy|Adventure|Fantasy|Magic|Middle Grade
"Larry Niven,Jerry Pournelle",The Mote in God's Eye,4.07,65021,Science Fiction|Science Fiction Fantasy|Space|Space Opera|Science Fiction|Aliens|Fantasy|Classics|Space|Speculative Fiction
"Joelle Charbonneau,AmÃ©lie Sarn,AmÃ©lie Hesnard",The Testing,4.03,64938,Science Fiction|Dystopia|Science Fiction|Romance|Fantasy|Apocalyptic|Post Apocalyptic|Adventure|Teen|Adventure|Survival
Dr. Seuss,The Sneetches and Other Stories,4.3,64680,Picture Books|Classics|Poetry|Fantasy|Humor|Kids|Short Stories|Juvenile
Janet Evanovich,Notorious Nineteen,3.94,64552,Mystery|Humor|Womens Fiction|Chick Lit|Romance|Mystery|Crime|Humor|Comedy|Thriller|Mystery Thriller
Candice Millard,"Destiny of the Republic: A Tale of Madness, Medicine and the Murder of a President",4.12,64551,History|Biography|North American Hi...|American History|Politics|Presidents|Politics|Historical|Crime|True Crime|Biography Memoir
Holly Goldberg Sloan,Counting by 7s,4.16,64504,Middle Grade|Realistic Fiction|Contemporary|Family|Death|Juvenile
James Patterson,Hide and Seek,4.12,64431,Mystery|Thriller|Mystery|Crime|Suspense|Thriller|Mystery Thriller|Mystery|Detective|Romance|Mystery|Murder Mystery|Adventure
Lee Child,Never Go Back,4.05,64279,Thriller|Mystery|Mystery|Crime|Action|Suspense|Thriller|Mystery Thriller|Adventure|War|Military Fiction
Dean Koontz,Brother Odd,3.99,64114,Horror|Fantasy|Thriller|Mystery|Fantasy|Paranormal|Fantasy|Supernatural|Suspense|Fantasy|Urban Fantasy|Thriller|Mystery Thriller
Jeanette Winterson,Oranges Are Not the Only Fruit,3.73,64100,LGBT|GLBT|Queer|Contemporary|Classics|Religion|Feminism|LGBT|Lesbian|Literary Fiction
"Greg Behrendt,Liz Tuccillo",He's Just Not That Into You: The No-Excuses Truth to Understanding Guys,3.66,64018,Self Help|Womens Fiction|Chick Lit|Relationships|Humor|Psychology|Romance|Contemporary|Humor|Comedy
Sidney Sheldon,If Tomorrow Comes,4.05,63805,Thriller|Mystery|Suspense|Romance|Mystery|Crime|Thriller|Mystery Thriller|Drama|Contemporary
Lisa Kleypas,Devil in Winter,4.24,63762,Romance|Historical Romance|Romance|Historical|Historical|Historical Fiction|Historical|Regency|Historical Romance|Regency Romance|Historical|Victorian|Womens Fiction|Chick Lit
Gail McHugh,Collide,4.21,63658,Romance|New Adult|Romance|Contemporary Romance|Contemporary|Adult Fiction|Erotica|Romance|Erotic Romance|Drama|Sociology|Abuse|Womens Fiction|Chick Lit
Holly Black,The Coldest Girl in Coldtown,3.83,63405,Fantasy|Paranormal|Vampires|Fantasy|Paranormal|Horror|Fantasy|Urban Fantasy|Romance|Fantasy|Supernatural|Science Fiction|Dystopia
"Bill Bryson,Goran Skrobonja",The Life and Times of the Thunderbolt Kid,3.91,62524,Autobiography|Memoir|Humor|Biography|Biography|Autobiography|History|Biography Memoir|Travel|Humor|Comedy
Blaine Harden,Escape from Camp 14: One Man's Remarkable Odyssey from North Korea to Freedom in the West,3.98,62491,Biography|History|Autobiography|Memoir|Politics|Cultural|Asia|Biography Memoir|Adventure|Survival|Historical
Katherine Dunn,Geek Love,3.94,62488,Horror|Fantasy|Contemporary|Literary Fiction|Dark|Adult Fiction|Literature
R.L. Mathewson,Perfection,4.14,62433,Romance|Romance|Contemporary Romance|Contemporary|Humor|Womens Fiction|Chick Lit|New Adult|Adult Fiction|Erotica|Love
Bob Goff,Love Does: Discover a Secretly Incredible Life in an Ordinary World,4.3,62427,Christian|Religion|Faith|Religion|Christianity|Christian|Christian Living|Religion|Spirituality|Self Help|Autobiography|Memoir|Inspirational
Rick Yancey,The Last Star,3.63,62422,Science Fiction|Science Fiction|Dystopia|Science Fiction|Aliens|Fantasy|Apocalyptic|Post Apocalyptic|Romance|Science Fiction|Apocalyptic
Sara Shepard,Perfect,3.98,62220,Mystery|Contemporary|Womens Fiction|Chick Lit|Romance|Thriller|Teen|Realistic Fiction|Drama
Christopher Paul Curtis,The Watsons Go to Birmingham - 1963,3.97,62006,Historical|Historical Fiction|Middle Grade|Historical|Academic|School|Cultural|African American|Family|Classics
Mary Karr,The Liars' Club,3.93,61837,Autobiography|Memoir|Biography|Biography Memoir|Biography|Autobiography|Coming Of Age|Book Club|Womens|American|Southern
Edward Albee,Who's Afraid of Virginia Woolf?,4.08,61821,Plays|Classics|Drama|Plays|Theatre|Literature|American|Literature|Literature|20th Century|Academic|School|The United States Of America
"Eliyahu M. Goldratt,Jeff Cox",The Goal: A Process of Ongoing Improvement,4.06,61798,Business|Business|Management|Leadership|Self Help|Buisness|Productivity|Self Help|Personal Development|Business|Entrepreneurship|Economics
James Patterson,Pop Goes the Weasel,4.01,61738,Mystery|Thriller|Mystery|Crime|Suspense|Thriller|Mystery Thriller|Mystery|Detective|Mystery|Murder Mystery
"Johann Wolfgang von Goethe,Peter Salm","Faust, First Part",3.92,61658,Classics|Plays|Poetry|European Literature|German Literature|Drama|Literature|Academic|School|Philosophy|Fantasy
Gary Russell,The Lord of the Rings: The Art of the Fellowship of the Ring,4.62,61649,Fantasy|Art|Culture|Film|Classics|Media Tie In|Fantasy|High Fantasy|Reference|Adventure|Science Fiction Fantasy
Ø£Ø­Ù…Ø¯ Ù…Ø±Ø§Ø¯,Ø§Ù„ÙÙŠÙ„ Ø§Ù„Ø£Ø²Ø±Ù‚,3.79,61589,Horror|Mystery|Literature|Fantasy|Psychology|Mystery|Crime|Thriller|Suspense
Tamora Pierce,First Test,4.17,61518,Fantasy|Young Adult Fantasy|Adventure|Fantasy|Magic|Middle Grade|Fantasy|High Fantasy|Teen
James Patterson,Cross,4.01,61415,Mystery|Thriller|Mystery|Crime|Suspense|Thriller|Mystery Thriller|Mystery|Detective|Mystery|Murder Mystery
Julia Quinn,When He Was Wicked,4.03,61303,Romance|Romance|Historical Romance|Historical|Historical|Historical Fiction|Historical|Regency|Historical Romance|Regency Romance|Womens Fiction|Chick Lit
Amish Tripathi,The Oath of the Vayuputras,3.79,61045,Fantasy|Mythology|Fantasy|Asian Literature|Indian Literature|Historical|Historical Fiction|Amish|Cultural|India|Adventure|Thriller
"Ø£Ø­Ù„Ø§Ù… Ù…Ø³ØªØºØ§Ù†Ù…ÙŠ,Ahlam Mosteghanemi",Ø§Ù„Ø£Ø³ÙˆØ¯ ÙŠÙ„ÙŠÙ‚ Ø¨Ùƒ,3.65,60851,Romance|Romantic|Literature|Love|Drama|Northern Africa|Algeria
Michael J. Sullivan,Theft of Swords,4.18,60842,Fantasy|Fantasy|Epic Fantasy|Adventure|Fantasy|High Fantasy|Fantasy|Magic|Science Fiction Fantasy
M.T. Anderson,Feed,3.55,60787,Science Fiction|Science Fiction|Dystopia|Teen|Fantasy|Romance|Science Fiction Fantasy|Academic|School
John Flanagan,The Sorcerer of the North,4.27,60660,Fantasy|Adventure|Middle Grade|Action|Historical|Medieval|Young Adult Fantasy|Teen
Amanda Hocking,Ascend,4.08,60365,Fantasy|Fantasy|Paranormal|Romance|Romance|Paranormal Romance|Fantasy|Magic|Fantasy|Supernatural|Fantasy|Urban Fantasy|Young Adult Fantasy
Juliet Marillier,Daughter of the Forest,4.23,60315,Fantasy|Romance|Historical|Historical Fiction|Fantasy|Fairy Tales|Historical|Fantasy|Magic|Retellings
Abbi Glines,Existence,3.92,60248,Fantasy|Paranormal|Romance|Fantasy|Romance|Paranormal Romance|Fantasy|Supernatural|Paranormal|Ghosts|Fantasy|Urban Fantasy|New Adult|Paranormal|Angels
"Ovid,David Raeburn,Denis Feeney",Metamorphoses,4.07,60227,Classics|Poetry|Fantasy|Mythology|Literature|Fantasy|Literature|Ancient|Academic|School|Philosophy|Classics|Classic Literature
"Stendhal,Roger Gard",The Red and the Black,3.88,60222,Classics|Cultural|France|European Literature|French Literature|Literature|Literature|19th Century|Historical|Historical Fiction|Romance|Classics|Classic Literature
Oliver Sacks,Musicophilia: Tales of Music and the Brain,3.93,60211,Music|Science|Psychology|Biology|Neuroscience|Health|Medicine|Neuroscience|Brain|Medical|Health
"James Patterson,Maxine Paetro",The 6th Target,4.04,60158,Mystery|Mystery|Crime|Thriller|Suspense|Thriller|Mystery Thriller|Mystery|Murder Mystery|Mystery|Detective
"Fyodor Dostoyevsky,Constance Garnett,Fyodor Dostoevsky",The Gambler,3.9,60042,Classics|Cultural|Russia|Literature|Russian Literature|Literature|Literature|19th Century|Romance|Roman|Historical|Historical Fiction
"Sophocles,Robert Fitzgerald,Dudley Fitts","The Oedipus Cycle: Oedipus Rex, Oedipus at Colonus, Antigone",3.98,59909,Classics|Plays|Drama|Fantasy|Mythology|Literature|Academic|School|Plays|Theatre|Poetry|Academic|Read For School
Pittacus Lore,The Fall of Five,4.23,59836,Fantasy|Science Fiction|Science Fiction|Aliens|Adventure|Fantasy|Paranormal|Romance|Action|Teen
Geraldine Brooks,March,3.74,59818,Historical|Historical Fiction|Historical|Military History|Civil War|War|Book Club|Literary Fiction|Adult Fiction
David Baldacci,The Hit,4.11,59716,Thriller|Mystery|Suspense|Mystery|Crime|Action|Thriller|Mystery Thriller|Spy Thriller|Espionage|Adventure
John Irving,The Hotel New Hampshire,3.91,59643,Contemporary|Literature|Literary Fiction|Classics|Literature|American|Humor|The United States Of America|Adult Fiction
Nicole  Williams,Crash,3.99,59470,Romance|New Adult|Contemporary|High School|Romance|Contemporary Romance|Sports|Sports|Womens Fiction|Chick Lit|Young Adult Romance
"Rachel Hawkins,R. Khokins",Spell Bound,4.06,59363,Fantasy|Fantasy|Paranormal|Fantasy|Magic|Romance|Paranormal|Vampires|Paranormal|Witches|Fantasy|Supernatural|Paranormal|Demons|Fantasy|Urban Fantasy
Jeannette Walls,The Silver Star,3.72,59361,Historical|Historical Fiction|Coming Of Age|Adult Fiction|Contemporary|Book Club|Family
Laura Moriarty,The Chaperone,3.86,59245,Historical|Historical Fiction|Historical|Adult Fiction|Book Club|New York|Womens Fiction|Chick Lit|Romance
R.K. Lilley,Grounded,4.28,59231,Romance|Erotica|BDSM|Adult Fiction|Erotica|Romance|Contemporary Romance|Contemporary|Romance|Erotic Romance|New Adult|Sociology|Abuse|Drama
Diane Chamberlain,Necessary Lies,4.25,59192,Historical|Historical Fiction|Historical|Womens Fiction|Chick Lit|Book Club|Adult Fiction|Drama|Contemporary
"Erich Fromm,Peter D. Kramer,LÃª PhÆ°Æ¡ng Anh,Rainer Funk",The Art of Loving,4.01,58996,Psychology|Philosophy|Self Help|Love|Relationships|Classics|Sociology|Spirituality|European Literature|German Literature
"Mahatma Gandhi,Mahadev Desai",Gandhi: An autobiography,4.06,58912,Biography|History|Biography|Autobiography|Cultural|India|Philosophy|Autobiography|Memoir|Politics|Biography Memoir|Spirituality
"Gregory Maguire,Douglas Smith,Jelena BojiÄ‡",Son of a Witch,3.48,58878,Fantasy|Science Fiction Fantasy|Retellings|Fantasy|Fairy Tales|Fantasy|Magic|Paranormal|Witches|Adult Fiction|Adventure
Barbara Kingsolver,Pigs in Heaven,3.96,58815,Contemporary|Literary Fiction|Adult Fiction|Literature|Literature|American|Realistic Fiction|Parenting|Adoption
Salman Rushdie,The Satanic Verses,3.7,58727,Magical Realism|Classics|Fantasy|Cultural|India|Literature|Religion|Contemporary|Literary Fiction
Marian Keyes,Anybody Out There?,3.92,58589,Womens Fiction|Chick Lit|Romance|Contemporary|Cultural|Ireland|Romance|Contemporary Romance|European Literature|Irish Literature|Humor|Adult Fiction
